start,finish,distance,flights,steps
13/11/16 0:00,14/11/16 0:00,0.697830917,2,1879
14/11/16 0:00,15/11/16 0:00,0.18222953,1,510
15/11/16 0:00,16/11/16 0:00,0.066014475,0,174
16/11/16 0:00,17/11/16 0:00,1.533680804,8,3845
17/11/16 0:00,18/11/16 0:00,1.825284091,7,4920
18/11/16 0:00,19/11/16 0:00,2.64322606,9,6310
19/11/16 0:00,20/11/16 0:00,1.823817655,3,4658
20/11/16 0:00,21/11/16 0:00,0.741053498,2,2081
21/11/16 0:00,22/11/16 0:00,1.309825618,5,3201
22/11/16 0:00,23/11/16 0:00,2.38062838,9,6414
23/11/16 0:00,24/11/16 0:00,1.443308578,6,3545
24/11/16 0:00,25/11/16 0:00,2.862203482,8,6749
